시설번호,시설유형코드,시도명,시군구명,시군구코드,소재지도로명주소,소재지지번주소,위도,경도,상세위치,안전센터명,보호틀유무,설치연도,출수압력,관할기관명,관할기관전화번호,데이터기준일자,제공기관코드,제공기관명
토산7호,1,제주특별자치도,서귀포시,50130,제주특별자치도 서귀포시 표선면 토산중앙로 275,제주특별자치도 서귀포시 표선면 토산리 1369-1,33.3265914724,126.7662293519,토산1리사무소 앞,표선119안전센터,Y,2017,3.0,동부소방서,064-780-9182,2024-02-07,1661000,소방청
토산6호,1,제주특별자치도,서귀포시,50130,제주특별자치도 서귀포시 표선면 중산간동로 5468,제주특별자치도 서귀포시 표선면 1550-7,33.3328499098,126.768771363,토산1리 노인회관,표선119안전센터,Y,2011,2.0,동부소방서,064-780-9182,2024-02-07,1661000,소방청
토산5호,1,제주특별자치도,서귀포시,50130,제주특별자치도 서귀포시 표선면 토산중앙로46번길 1,제주특별자치도 서귀포시 표선면 토산리 519-3,33.3101358379,126.7768574147,토산초등학교 표지판 삼거리,표선119안전센터,Y,2006,3.5,동부소방서,064-780-9182,2024-02-07,1661000,소방청
토산4호,1,제주특별자치도,서귀포시,50130,제주특별자치도 서귀포시 표선면 일주동로 6414,제주특별자치도 서귀포시 표선면 토산리 71-1,33.3074900495,126.7864256202,샤인빌리조트 입구 삼거리,표선119안전센터,Y,2006,5.2,동부소방서,064-780-9182,2024-02-07,1661000,소방청
토산3호,1,제주특별자치도,서귀포시,50130,제주특별자치도 서귀포시 표선면 일주동로 6470,제주특별자치도 서귀포시 표선면 토산리 439-7,33.3076424283,126.7805287285,일주도로 토산초등학교 입구삼거리,표선119안전센터,Y,1995,3.8,동부소방서,064-780-9182,2024-02-07,1661000,소방청
토산2호,1,제주특별자치도,서귀포시,50130,제주특별자치도 서귀포시 표선면 토산중앙로 13,제주특별자치도 서귀포시 표선면 토산리 440-1,33.3083300395,126.7797294936,토산2리사무소 앞 삼거리,표선119안전센터,Y,1995,2.8,동부소방서,064-780-9182,2024-02-07,1661000,소방청
토산1호,1,제주특별자치도,서귀포시,50130,제주특별자치도 서귀포시 표선면 중산간동로 5522,제주특별자치도 서귀포시 표선면 토산리 1444-1,33.328802717,126.7694895,토산 중산간동로 5522 앞,표선119안전센터,Y,2018,3.5,동부소방서,064-780-9182,2024-02-07,1661000,소방청
세화10호,1,제주특별자치도,서귀포시,50130,제주특별자치도 서귀포시 표선면 세성로 302,제주특별자치도 서귀포시 표선면 세화리 1123-3,33.3321222273,126.7979944245,세화1리사무소 맞은편,표선119안전센터,Y,1980,2.8,동부소방서,064-780-9182,2024-02-07,1661000,소방청
세화9호,1,제주특별자치도,서귀포시,50130,제주특별자치도 서귀포시 표선면 세화리 757,제주특별자치도 서귀포시 표선면 세화리 757,33.3396458971,126.806201395,세화리 757 회전교차로 남동쪽 인근 도로상,표선119안전센터,Y,2018,4.0,동부소방서,064-780-9182,2024-02-07,1661000,소방청
세화8호,1,제주특별자치도,서귀포시,50130,제주특별자치도 서귀포시 표선면 가시로 309,제주특별자치도 서귀포시 표선면 세화리 2162-4,33.3418863114,126.7937800883,회전교차로에서 샤인빌파크 방향 도로,표선119안전센터,Y,2018,5.5,동부소방서,064-780-9182,2024-02-07,1661000,소방청
세화7호,1,제주특별자치도,서귀포시,50130,제주특별자치도 서귀포시 표선면 세성로 166,제주특별자치도 서귀포시 표선면 세화리 1368,33.3206418693,126.8012204332,세화리 낙원산업 북측 50m,표선119안전센터,Y,2013,4.1,동부소방서,064-780-9182,2024-02-07,1661000,소방청
세화6호,1,제주특별자치도,서귀포시,50130,제주특별자치도 서귀포시 표선면 세화강왓로 105,제주특별자치도 서귀포시 표선면 세화리 1811-1,33.3267718558,126.7959369041,구 화산초등학교에서 세화3리방면 서측,표선119안전센터,Y,2004,3.5,동부소방서,064-780-9182,2024-02-07,1661000,소방청
세화5호,1,제주특별자치도,서귀포시,50130,제주특별자치도 서귀포시 표선면 돈오름로22번길 32,제주특별자치도 서귀포시 표선면 세화리 1074-1,33.3302936138,126.7995377888,대진석유 앞,표선119안전센터,Y,2001,1.6,동부소방서,064-780-9182,2024-02-07,1661000,소방청
